protocol,contract_address,source,file,chain
inline_literal,0x329239599afb305da0a2ec69c58f8a6697f9f88d,inline_literal,swerve.js,unknown
inline_literal,0x2ef06a90b0e7ae3ae508e83ea6628a3987945460,inline_literal,occam.js,unknown
inline_literal,0xd76d8c2a7ca0a1609aea0b9b5017b3f7782891bf,inline_literal,openocean.js,unknown
inline_literal,0x44eb0f1ce777394564070f9e50dd8784fcdb7e6a,inline_literal,openocean.js,unknown
inline_literal,0x9029fdfae9a03135846381c7ce16595c3554e10a,inline_literal,openocean.js,unknown
inline_literal,0xd76d8c2a7ca0a1609aea0b9b5017b3f7782891bf,inline_literal,openocean.js,unknown
inline_literal,0x6dd434082eab5cd134b33719ec1ff05fe985b97b,inline_literal,openocean.js,unknown
inline_literal,0x01ec93c289cb003e741f621cdd4fe837243f8905,inline_literal,openocean.js,unknown
inline_literal,0x8d2b7e5501eb6d92f8e349f2febe785dd070be74,inline_literal,openocean.js,unknown
inline_literal,0x042af448582d0a3ce3cfa5b65c2675e88610b18d,inline_literal,openocean.js,unknown
inline_literal,0x4c431b568e8baab20f004bb16e44570e8e0cd6d7,inline_literal,openocean.js,unknown
inline_literal,0x0ebd9537a25f56713e34c45b38f421a1e7191469,inline_literal,openocean.js,unknown
inline_literal,0x1f8c25f8da3990ecd3632ee4f02c2ea37755c3c6,inline_literal,openocean.js,unknown
inline_literal,0xb99d38eb69214e493b1183ffa3d561fc9f75d519,inline_literal,openocean.js,unknown
inline_literal,0x7778360f035c589fce2f4ea5786cbd8b36e5396b,inline_literal,openocean.js,unknown
inline_literal,0x6dd434082eab5cd134b33719ec1ff05fe985b97b,inline_literal,openocean.js,unknown
inline_literal,0xfd36e2c2a6789db23113685031d7f16329158384,inline_literal,venus.js,unknown
inline_literal,0xa07c5b74c9b40447a954e1466938b865b6bbea36,inline_literal,venus.js,unknown
inline_literal,0x687a01ecf6d3907658f7a7c714749fac32336d1b,inline_literal,venus.js,unknown
inline_literal,0xd6e3e2a1d8d95cae355d15b3b9f8e5c2511874dd,inline_literal,venus.js,unknown
inline_literal,0x317c1a5739f39046e20b08ac9beea3f10fd43326,inline_literal,venus.js,unknown
inline_literal,0xdde4d098d9995b659724ae6d5e3fb9681ac941b1,inline_literal,venus.js,unknown
inline_literal,0x0c7973f9598aa62f9e03b94e92c967fd5437426c,inline_literal,venus.js,unknown
inline_literal,0x5593ff68be84c966821eef5f0a988c285d5b7cec,inline_literal,venus.js,unknown
inline_literal,0xe22af1e6b78318e1fe1053edbd7209b8fc62c4fe,inline_literal,venus.js,unknown
inline_literal,0x74b23882a30290451a17c44f4f05243b6b58c76d,inline_literal,woofi.js,unknown
inline_literal,0x6626c47c00f1d87902fc13eecfac3ed06d5e8d8a,inline_literal,woofi.js,unknown
inline_literal,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,inline_literal,woofi.js,unknown
inline_literal,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,inline_literal,woofi.js,unknown
inline_literal,0xabc9547b534519ff73921b1fba6e672b5f58d083,inline_literal,woofi.js,unknown
inline_literal,0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603,inline_literal,woofi.js,unknown
inline_literal,0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b,inline_literal,woofi.js,unknown
inline_literal,0x871f2f2ff935fd1ed867842ff2a7bfd051a5e527,inline_literal,woofi.js,unknown
inline_literal,0x1d17cbcf0d6d143135ae902365d2e5e2a16538d4,inline_literal,woofi.js,unknown
